constructorId,year,name_x,positionText,relation
27,1996,Ligier,7,27
25,1996,Tyrrell,8,25
27,1996,Ligier,5,27
29,1996,Footwork,9,29
28,1996,Forti,11,28
18,1996,Minardi,10,18
3,1996,Williams,1,3
6,1996,Ferrari,2,6
22,1996,Benetton,3,22
15,1996,Sauber,6,11
18,1996,Minardi,10,18
22,1996,Benetton,3,22
25,1996,Tyrrell,8,25
27,1996,Ligier,5,27
29,1996,Footwork,9,29
28,1996,Forti,11,28
1,1996,McLaren,4,1
17,1996,Jordan,7,17
6,1996,Ferrari,2,6
18,1996,Minardi,10,18
15,1996,Sauber,7,11
29,1996,Footwork,8,29
28,1996,Forti,10,28
1,1996,McLaren,4,1
3,1996,Williams,1,3
6,1996,Ferrari,2,6
15,1996,Sauber,9,11
17,1996,Jordan,5,17
17,1996,Jordan,6,17
18,1996,Minardi,10,18
25,1996,Tyrrell,6,25
27,1996,Ligier,7,27
29,1996,Footwork,8,29
28,1996,Forti,11,28
1,1996,McLaren,4,1
3,1996,Williams,1,3
6,1996,Ferrari,2,6
22,1996,Benetton,3,22
22,1996,Benetton,2,22
6,1996,Ferrari,2,6
27,1996,Ligier,6,27
29,1996,Footwork,9,29
27,1996,Ligier,6,27
25,1996,Tyrrell,8,25
22,1996,Benetton,3,22
18,1996,Minardi,10,18
25,1996,Tyrrell,8,25
15,1996,Sauber,7,11
3,1996,Williams,1,3
1,1996,McLaren,4,1
29,1996,Footwork,9,29
17,1996,Jordan,5,17
25,1997,Tyrrell,8,25
24,1997,Stewart,11,24
22,1997,Benetton,4,22
20,1997,Prost,6,20
21,1997,Arrows,10,21
18,1997,Minardi,9,18
17,1997,Jordan,5,17
15,1997,Sauber,7,11
3,1997,Williams,1,3
1,1997,McLaren,3,1
25,1997,Tyrrell,8,25
24,1997,Stewart,11,24
1,1997,McLaren,3,1
22,1997,Benetton,4,22
20,1997,Prost,5,20
21,1997,Arrows,10,21
6,1997,Ferrari,2,6
3,1997,Williams,2,3
20,1997,Prost,5,20
15,1997,Sauber,8,11
22,1997,Benetton,4,22
20,1997,Prost,5,20
21,1997,Arrows,11,21
18,1997,Minardi,10,18
17,1997,Jordan,6,17
15,1997,Sauber,8,11
6,1997,Ferrari,1,6
6,1997,Ferrari,1,6
3,1997,Williams,2,3
25,1997,Tyrrell,9,25
24,1997,Stewart,7,24
22,1997,Benetton,4,22
18,1997,Minardi,9,18
21,1997,Arrows,11,21
18,1997,Minardi,10,18
17,1997,Jordan,6,17
1,1997,McLaren,3,1
17,1997,Jordan,6,17
22,1997,Benetton,3,22
6,1997,Ferrari,3,6
18,1997,Minardi,11,18
21,1997,Arrows,8,21
20,1997,Prost,6,20
22,1997,Benetton,3,22
24,1997,Stewart,9,24
25,1997,Tyrrell,10,25
1,1997,McLaren,4,1
3,1997,Williams,1,3
6,1997,Ferrari,2,6
15,1997,Sauber,7,11
17,1997,Jordan,5,17
18,1997,Minardi,11,18
21,1997,Arrows,8,21
20,1997,Prost,6,20
22,1997,Benetton,3,22
24,1997,Stewart,9,24
25,1997,Tyrrell,10,25
17,1997,Jordan,5,17
15,1997,Sauber,7,11
1,1997,McLaren,1,1
6,1997,Ferrari,2,6
3,1997,Williams,1,3
1,1997,McLaren,2,1
25,1997,Tyrrell,10,25
24,1997,Stewart,7,24
20,1997,Prost,5,20
21,1997,Arrows,9,21
18,1997,Minardi,8,18
17,1997,Jordan,7,17
15,1997,Sauber,6,11
6,1997,Ferrari,4,6
3,1997,Williams,2,3
1,1997,McLaren,1,1
22,1997,Benetton,3,22
20,1997,Prost,4,20
21,1997,Arrows,8,21
18,1997,Minardi,7,18
15,1997,Sauber,5,11
3,1997,Williams,6,3
25,1997,Tyrrell,9,25
18,1997,Minardi,11,18
3,1997,Williams,2,3
18,1997,Minardi,11,18
17,1997,Jordan,5,17
15,1997,Sauber,7,11
6,1997,Ferrari,1,6
3,1997,Williams,2,3
1,1997,McLaren,4,1
25,1997,Tyrrell,10,25
21,1997,Arrows,8,21
24,1997,Stewart,9,24
20,1997,Prost,5,20
21,1997,Arrows,8,21
18,1997,Minardi,11,18
17,1997,Jordan,6,17
15,1997,Sauber,7,11
6,1997,Ferrari,1,6
3,1997,Williams,2,3
22,1997,Benetton,3,22
20,1997,Prost,6,20
22,1997,Benetton,3,22
24,1997,Stewart,9,24
1,1997,McLaren,4,1
15,1997,Sauber,7,11
6,1997,Ferrari,2,6
3,1997,Williams,1,3
1,1997,McLaren,4,1
25,1997,Tyrrell,10,25
24,1997,Stewart,9,24
22,1997,Benetton,3,22
20,1997,Prost,6,20
21,1997,Arrows,8,21
18,1997,Minardi,11,18
17,1997,Jordan,5,17
15,1997,Sauber,7,11
6,1997,Ferrari,1,6
3,1997,Williams,2,3
1,1997,McLaren,4,1
25,1997,Tyrrell,10,25
1,1997,McLaren,4,1
1,1997,McLaren,4,1
25,1997,Tyrrell,9,25
22,1997,Benetton,3,22
20,1997,Prost,5,20
21,1997,Arrows,10,21
18,1997,Minardi,11,18
17,1997,Jordan,6,17
15,1997,Sauber,7,11
6,1997,Ferrari,1,6
3,1997,Williams,2,3
22,1997,Benetton,3,22
1,1997,McLaren,4,1
24,1997,Stewart,8,24
22,1997,Benetton,3,22
20,1997,Prost,5,20
21,1997,Arrows,10,21
17,1997,Jordan,6,17
15,1997,Sauber,7,11
6,1997,Ferrari,1,6
25,1997,Tyrrell,9,25
24,1997,Stewart,8,24
25,1997,Tyrrell,9,25
3,1997,Williams,2,3
20,1997,Prost,5,20
21,1997,Arrows,10,21
18,1997,Minardi,11,18
17,1997,Jordan,6,17
15,1997,Sauber,7,11
6,1997,Ferrari,1,6
3,1997,Williams,2,3
1,1997,McLaren,4,1
25,1997,Tyrrell,9,25
24,1997,Stewart,8,24
22,1997,Benetton,3,22
20,1997,Prost,5,20
21,1997,Arrows,10,21
18,1997,Minardi,11,18
17,1997,Jordan,6,17
15,1997,Sauber,7,11
6,1997,Ferrari,1,6
24,1997,Stewart,8,24
3,1997,Williams,1,3
1,1997,McLaren,4,1
15,1997,Sauber,7,11
6,1997,Ferrari,2,6
24,1997,Stewart,9,24
22,1997,Benetton,3,22
20,1997,Prost,6,20
21,1997,Arrows,8,21
18,1997,Minardi,11,18
17,1997,Jordan,5,17
15,1997,Sauber,7,11
6,1997,Ferrari,2,6
25,1997,Tyrrell,10,25
1,1997,McLaren,4,1
25,1997,Tyrrell,10,25
24,1997,Stewart,9,24
22,1997,Benetton,3,22
20,1997,Prost,6,20
21,1997,Arrows,8,21
18,1997,Minardi,11,18
17,1997,Jordan,5,17
3,1997,Williams,1,3
20,1998,Prost,11,20
22,1998,Benetton,3,22
24,1998,Stewart,5,24
25,1998,Tyrrell,10,25
1,1998,McLaren,1,1
3,1998,Williams,4,3
6,1998,Ferrari,2,6
20,1998,Prost,11,20
17,1998,Jordan,5,17
18,1998,Minardi,9,18
21,1998,Arrows,7,21
22,1998,Benetton,3,22
24,1998,Stewart,6,24
25,1998,Tyrrell,10,25
21,1998,Arrows,6,21
15,1998,Sauber,8,11
18,1998,Minardi,9,18
21,1998,Arrows,6,21
15,1998,Sauber,7,11
25,1998,Tyrrell,10,25
1,1998,McLaren,1,1
3,1998,Williams,4,3
6,1998,Ferrari,2,6
15,1998,Sauber,7,11
17,1998,Jordan,8,17
18,1998,Minardi,9,18
1,1998,McLaren,1,1
20,1998,Prost,11,20
22,1998,Benetton,3,22
24,1998,Stewart,5,24
25,1998,Tyrrell,10,25
1,1998,McLaren,1,1
3,1998,Williams,4,3
6,1998,Ferrari,2,6
17,1998,Jordan,8,17
3,1998,Williams,4,3
1,1998,McLaren,1,1
15,1998,Sauber,8,11
6,1998,Ferrari,2,6
15,1998,Sauber,6,11
17,1998,Jordan,5,17
18,1998,Minardi,10,18
21,1998,Arrows,7,21
20,1998,Prost,9,20
22,1998,Benetton,4,22
3,1998,Williams,3,3
24,1998,Stewart,8,24
1,1998,McLaren,1,1
3,1998,Williams,3,3
6,1998,Ferrari,2,6
15,1998,Sauber,6,11
17,1998,Jordan,5,17
18,1998,Minardi,10,18
21,1998,Arrows,7,21
25,1998,Tyrrell,11,25
6,1998,Ferrari,2,6
1,1998,McLaren,1,1
24,1998,Stewart,8,24
17,1998,Jordan,5,17
18,1998,Minardi,9,18
21,1998,Arrows,7,21
20,1998,Prost,11,20
22,1998,Benetton,3,22
24,1998,Stewart,6,24
25,1998,Tyrrell,10,25
25,1998,Tyrrell,11,25
24,1998,Stewart,5,24
6,1998,Ferrari,2,6
15,1998,Sauber,6,11
17,1998,Jordan,5,17
18,1998,Minardi,10,18
21,1998,Arrows,7,21
20,1998,Prost,9,20
22,1998,Benetton,4,22
3,1998,Williams,3,3
22,1998,Benetton,3,22
24,1998,Stewart,5,24
21,1998,Arrows,6,21
18,1998,Minardi,10,18
20,1998,Prost,7,20
22,1998,Benetton,4,22
24,1998,Stewart,8,24
25,1998,Tyrrell,9,25
1,1998,McLaren,1,1
3,1998,Williams,3,3
6,1998,Ferrari,2,6
15,1998,Sauber,5,11
17,1998,Jordan,6,17
18,1998,Minardi,7,18
21,1998,Arrows,9,21
20,1998,Prost,8,20
22,1998,Benetton,4,22
24,1998,Stewart,10,24
17,1998,Jordan,6,17
15,1998,Sauber,5,11
6,1998,Ferrari,2,6
3,1998,Williams,3,3
1,1998,McLaren,1,1
3,1998,Williams,2,3
6,1998,Ferrari,3,6
15,1998,Sauber,4,11
17,1998,Jordan,6,17
20,1998,Prost,7,20
22,1998,Benetton,5,22
25,1998,Tyrrell,11,25
1,1998,McLaren,1,1
6,1998,Ferrari,3,6
15,1998,Sauber,5,11
17,1998,Jordan,6,17
20,1998,Prost,7,20
22,1998,Benetton,4,22
24,1998,Stewart,8,24
1,1998,McLaren,1,1
3,1998,Williams,2,3
20,1998,Prost,11,20
1,1998,McLaren,1,1
6,1998,Ferrari,2,6
3,1998,Williams,4,3
6,1998,Ferrari,2,6
15,1998,Sauber,7,11
17,1998,Jordan,8,17
18,1998,Minardi,9,18
21,1998,Arrows,6,21
20,1998,Prost,11,20
22,1998,Benetton,3,22
20,1998,Prost,9,20
25,1998,Tyrrell,10,25
1,1998,McLaren,1,1
3,1998,Williams,4,3
6,1998,Ferrari,2,6
15,1998,Sauber,7,11
18,1998,Minardi,9,18
1,1998,McLaren,1,1
25,1998,Tyrrell,11,25
24,1998,Stewart,7,24
22,1998,Benetton,3,22
15,1998,Sauber,5,11
17,1998,Jordan,7,17
18,1998,Minardi,8,18
21,1998,Arrows,10,21
20,1998,Prost,9,20
22,1998,Benetton,4,22
24,1998,Stewart,6,24
3,1998,Williams,3,3
25,1998,Tyrrell,11,25
3,1998,Williams,4,3
6,1998,Ferrari,2,6
15,1998,Sauber,6,11
17,1998,Jordan,8,17
18,1998,Minardi,9,18
21,1998,Arrows,5,21
20,1998,Prost,10,20
1,1998,McLaren,1,1
22,1998,Benetton,4,22
17,1998,Jordan,8,17
25,1998,Tyrrell,11,25
25,1998,Tyrrell,11,25
24,1998,Stewart,8,24
22,1998,Benetton,5,22
20,1998,Prost,9,20
21,1998,Arrows,7,21
24,1998,Stewart,8,24
17,1998,Jordan,4,17
15,1998,Sauber,6,11
6,1998,Ferrari,2,6
3,1998,Williams,3,3
1,1998,McLaren,1,1
18,1998,Minardi,10,18
1,1999,McLaren,2,1
3,1999,Williams,4,3
6,1999,Ferrari,1,6
15,1999,Sauber,7,11
16,1999,BAR,10,16
17,1999,Jordan,3,17
18,1999,Minardi,11,18
22,1999,Benetton,5,22
20,1999,Prost,8,20
24,1999,Stewart,6,24
1,1999,McLaren,1,1
3,1999,Williams,4,3
24,1999,Stewart,6,24
6,1999,Ferrari,2,6
15,1999,Sauber,7,11
21,1999,Arrows,9,21
22,1999,Benetton,5,22
15,1999,Sauber,7,11
21,1999,Arrows,9,21
15,1999,Sauber,7,11
16,1999,BAR,10,16
17,1999,Jordan,3,17
18,1999,Minardi,11,18
21,1999,Arrows,9,21
20,1999,Prost,8,20
22,1999,Benetton,5,22
24,1999,Stewart,6,24
1,1999,McLaren,2,1
3,1999,Williams,4,3
6,1999,Ferrari,1,6
16,1999,BAR,10,16
16,1999,BAR,10,16
17,1999,Jordan,3,17
18,1999,Minardi,11,18
20,1999,Prost,8,20
17,1999,Jordan,3,17
1,1999,McLaren,1,1
21,1999,Arrows,9,21
17,1999,Jordan,3,17
18,1999,Minardi,10,18
21,1999,Arrows,9,21
20,1999,Prost,7,20
22,1999,Benetton,6,22
24,1999,Stewart,5,24
1,1999,McLaren,2,1
3,1999,Williams,5,3
6,1999,Ferrari,1,6
15,1999,Sauber,8,11
16,1999,BAR,11,16
17,1999,Jordan,3,17
18,1999,Minardi,10,18
20,1999,Prost,7,20
22,1999,Benetton,6,22
16,1999,BAR,11,16
18,1999,Minardi,11,18
15,1999,Sauber,8,11
3,1999,Williams,4,3
20,1999,Prost,8,20
22,1999,Benetton,5,22
24,1999,Stewart,6,24
6,1999,Ferrari,1,6
3,1999,Williams,4,3
6,1999,Ferrari,2,6
15,1999,Sauber,7,11
16,1999,BAR,10,16
17,1999,Jordan,3,17
18,1999,Minardi,11,18
21,1999,Arrows,9,21
20,1999,Prost,8,20
22,1999,Benetton,6,22
24,1999,Stewart,5,24
1,1999,McLaren,1,1
6,1999,Ferrari,2,6
3,1999,Williams,4,3
18,1999,Minardi,11,18
24,1999,Stewart,6,24
1,1999,McLaren,2,1
3,1999,Williams,5,3
6,1999,Ferrari,1,6
15,1999,Sauber,9,11
16,1999,BAR,10,16
17,1999,Jordan,3,17
18,1999,Minardi,11,18
21,1999,Arrows,7,21
20,1999,Prost,8,20
22,1999,Benetton,4,22
24,1999,Stewart,6,24
1,1999,McLaren,2,1
3,1999,Williams,4,3
6,1999,Ferrari,1,6
15,1999,Sauber,9,11
24,1999,Stewart,5,24
22,1999,Benetton,6,22
20,1999,Prost,8,20
21,1999,Arrows,7,21
1,1999,McLaren,2,1
3,1999,Williams,4,3
6,1999,Ferrari,1,6
17,1999,Jordan,3,17
18,1999,Minardi,9,18
21,1999,Arrows,7,21
20,1999,Prost,8,20
16,1999,BAR,10,16
22,1999,Benetton,5,22
1,1999,McLaren,2,1
3,1999,Williams,4,3
6,1999,Ferrari,1,6
15,1999,Sauber,9,11
16,1999,BAR,10,16
17,1999,Jordan,3,17
18,1999,Minardi,11,18
24,1999,Stewart,6,24
1,1999,McLaren,2,1
17,1999,Jordan,3,17
21,1999,Arrows,8,21
18,1999,Minardi,11,18
21,1999,Arrows,9,21
20,1999,Prost,7,20
22,1999,Benetton,5,22
24,1999,Stewart,6,24
1,1999,McLaren,2,1
3,1999,Williams,4,3
6,1999,Ferrari,1,6
15,1999,Sauber,7,11
16,1999,BAR,10,16
17,1999,Jordan,3,17
24,1999,Stewart,4,24
21,1999,Arrows,9,21
20,1999,Prost,8,20
22,1999,Benetton,5,22
17,1999,Jordan,3,17
16,1999,BAR,10,16
15,1999,Sauber,8,11
6,1999,Ferrari,1,6
20,1999,Prost,7,20
22,1999,Benetton,5,22
24,1999,Stewart,6,24
1,1999,McLaren,2,1
3,1999,Williams,5,3
6,1999,Ferrari,1,6
15,1999,Sauber,8,11
18,1999,Minardi,11,18
16,1999,BAR,10,16
18,1999,Minardi,11,18
21,1999,Arrows,9,21
20,1999,Prost,7,20
22,1999,Benetton,4,22
24,1999,Stewart,6,24
1,1999,McLaren,2,1
3,1999,Williams,4,3
17,1999,Jordan,3,17
1,1999,McLaren,2,1
21,1999,Arrows,9,21
6,1999,Ferrari,1,6
24,1999,Stewart,5,24
17,1999,Jordan,2,17
6,1999,Ferrari,1,6
3,1999,Williams,3,3
22,1999,Benetton,4,22
3,1999,Williams,5,3
24,1999,Stewart,4,24
21,1999,Arrows,6,21
20,1999,Prost,7,20
15,1999,Sauber,8,11
16,1999,BAR,11,16
17,1999,Jordan,3,17
18,1999,Minardi,10,18
21,1999,Arrows,9,21
22,1999,Benetton,6,22
18,2000,Minardi,10,18
22,2000,Benetton,4,22
21,2000,Arrows,8,21
19,2000,Jaguar,9,19
18,2000,Minardi,10,18
16,2000,BAR,6,16
15,2000,Sauber,7,11
6,2000,Ferrari,1,6
3,2000,Williams,3,3
22,2000,Benetton,3,22
20,2000,Prost,11,20
21,2000,Arrows,8,21
19,2000,Jaguar,9,19
17,2000,Jordan,5,17
1,2000,McLaren,2,1
6,2000,Ferrari,1,6
3,2000,Williams,3,3
18,2000,Minardi,10,18
17,2000,Jordan,5,17
16,2000,BAR,6,16
15,2000,Sauber,7,11
6,2000,Ferrari,1,6
3,2000,Williams,3,3
1,2000,McLaren,2,1
1,2000,McLaren,2,1
22,2000,Benetton,5,22
21,2000,Arrows,8,21
19,2000,Jaguar,9,19
18,2000,Minardi,10,18
17,2000,Jordan,4,17
16,2000,BAR,6,16
15,2000,Sauber,7,11
17,2000,Jordan,4,17
20,2000,Prost,11,20
16,2000,BAR,6,16
18,2000,Minardi,5,18
6,2000,Ferrari,1,6
18,2000,Minardi,10,18
19,2000,Jaguar,9,19
21,2000,Arrows,7,21
20,2000,Prost,11,20
22,2000,Benetton,4,22
1,2000,McLaren,2,1
3,2000,Williams,3,3
6,2000,Ferrari,1,6
15,2000,Sauber,8,11
16,2000,BAR,6,16
17,2000,Jordan,5,17
18,2000,Minardi,10,18
19,2000,Jaguar,9,19
21,2000,Arrows,7,21
20,2000,Prost,11,20
17,2000,Jordan,5,17
16,2000,BAR,6,16
15,2000,Sauber,8,11
6,2000,Ferrari,2,6
3,2000,Williams,5,3
1,2000,McLaren,2,1
3,2000,Williams,2,3
6,2000,Ferrari,1,6
16,2000,BAR,3,16
19,2000,Jaguar,9,19
20,2000,Prost,6,20
15,2000,Sauber,7,11
22,2000,Benetton,4,22
6,2000,Ferrari,1,6
16,2000,BAR,5,16
17,2000,Jordan,3,17
18,2000,Minardi,7,18
21,2000,Arrows,6,21
20,2000,Prost,8,20
22,2000,Benetton,2,22
3,2000,Williams,4,3
21,2000,Arrows,8,21
6,2000,Ferrari,1,6
22,2000,Benetton,4,22
15,2000,Sauber,7,11
6,2000,Ferrari,2,6
3,2000,Williams,3,3
1,2000,McLaren,1,1
22,2000,Benetton,4,22
20,2000,Prost,11,20
21,2000,Arrows,8,21
16,2000,BAR,6,16
19,2000,Jaguar,9,19
17,2000,Jordan,6,17
16,2000,BAR,5,16
15,2000,Sauber,7,11
6,2000,Ferrari,2,6
3,2000,Williams,3,3
1,2000,McLaren,1,1
22,2000,Benetton,4,22
18,2000,Minardi,10,18
17,2000,Jordan,5,17
18,2000,Minardi,10,18
19,2000,Jaguar,9,19
22,2000,Benetton,4,22
3,2000,Williams,3,3
1,2000,McLaren,1,1
22,2000,Benetton,4,22
20,2000,Prost,11,20
21,2000,Arrows,8,21
19,2000,Jaguar,9,19
18,2000,Minardi,10,18
17,2000,Jordan,5,17
16,2000,BAR,6,16
15,2000,Sauber,7,11
6,2000,Ferrari,2,6
3,2000,Williams,3,3
1,2000,McLaren,1,1
22,2000,Benetton,4,22
20,2000,Prost,11,20
21,2000,Arrows,8,21
20,2000,Prost,11,20
21,2000,Arrows,9,21
19,2000,Jaguar,8,19
18,2000,Minardi,10,18
18,2000,Minardi,10,18
17,2000,Jordan,5,17
16,2000,BAR,6,16
15,2000,Sauber,8,11
6,2000,Ferrari,1,6
3,2000,Williams,4,3
1,2000,McLaren,2,1
22,2000,Benetton,4,22
20,2000,Prost,11,20
21,2000,Arrows,9,21
19,2000,Jaguar,7,19
18,2000,Minardi,10,18
17,2000,Jordan,5,17
16,2000,BAR,6,16
15,2000,Sauber,8,11
3,2000,Williams,3,3
1,2000,McLaren,2,1
19,2000,Jaguar,7,19
20,2000,Prost,11,20
21,2000,Arrows,9,21
22,2000,Benetton,3,22
17,2000,Jordan,6,17
16,2000,BAR,5,16
15,2000,Sauber,7,11
6,2000,Ferrari,2,6
3,2000,Williams,3,3
1,2000,McLaren,1,1
22,2000,Benetton,3,22
20,2000,Prost,11,20
21,2000,Arrows,9,21
19,2000,Jaguar,7,19
18,2000,Minardi,10,18
17,2000,Jordan,5,17
16,2000,BAR,6,16
15,2000,Sauber,8,11
6,2000,Ferrari,1,6
3,2000,Williams,4,3
1,2000,McLaren,2,1
20,2000,Prost,11,20
1,2000,McLaren,2,1
20,2000,Prost,11,20
6,2000,Ferrari,1,6
22,2000,Benetton,4,22
20,2000,Prost,11,20
21,2000,Arrows,7,21
19,2000,Jaguar,9,19
18,2000,Minardi,10,18
17,2000,Jordan,6,17
16,2000,BAR,5,16
15,2000,Sauber,8,11
6,2000,Ferrari,1,6
3,2000,Williams,3,3
1,2000,McLaren,2,1
3,2000,Williams,3,3
16,2000,BAR,5,16
17,2000,Jordan,6,17
18,2000,Minardi,10,18
15,2000,Sauber,8,11
21,2000,Arrows,7,21
20,2000,Prost,11,20
22,2000,Benetton,4,22
19,2000,Jaguar,9,19
17,2001,Jordan,5,17
1,2001,McLaren,2,1
3,2001,Williams,3,3
6,2001,Ferrari,1,6
15,2001,Sauber,4,11
16,2001,BAR,6,16
18,2001,Minardi,11,18
1,2001,McLaren,2,1
21,2001,Arrows,9,21
20,2001,Prost,8,20
22,2001,Benetton,10,22
22,2001,Benetton,10,22
3,2001,Williams,3,3
6,2001,Ferrari,1,6
15,2001,Sauber,4,11
19,2001,Jaguar,7,19
20,2001,Prost,8,20
16,2001,BAR,6,16
19,2001,Jaguar,7,19
15,2001,Sauber,4,11
16,2001,BAR,6,16
17,2001,Jordan,5,17
18,2001,Minardi,11,18
19,2001,Jaguar,7,19
21,2001,Arrows,9,21
20,2001,Prost,8,20
22,2001,Benetton,10,22
1,2001,McLaren,2,1
3,2001,Williams,3,3
6,2001,Ferrari,1,6
15,2001,Sauber,4,11
16,2001,BAR,6,16
17,2001,Jordan,5,17
18,2001,Minardi,11,18
21,2001,Arrows,9,21
17,2001,Jordan,5,17
22,2001,Benetton,10,22
19,2001,Jaguar,7,19
18,2001,Minardi,11,18
19,2001,Jaguar,8,19
21,2001,Arrows,10,21
20,2001,Prost,9,20
22,2001,Benetton,7,22
1,2001,McLaren,2,1
3,2001,Williams,3,3
6,2001,Ferrari,1,6
15,2001,Sauber,4,11
16,2001,BAR,5,16
17,2001,Jordan,6,17
18,2001,Minardi,11,18
19,2001,Jaguar,8,19
21,2001,Arrows,10,21
20,2001,Prost,9,20
17,2001,Jordan,6,17
16,2001,BAR,5,16
15,2001,Sauber,4,11
6,2001,Ferrari,1,6
21,2001,Arrows,9,21
20,2001,Prost,8,20
6,2001,Ferrari,1,6
1,2001,McLaren,2,1
3,2001,Williams,3,3
6,2001,Ferrari,1,6
15,2001,Sauber,4,11
18,2001,Minardi,11,18
16,2001,BAR,5,16
18,2001,Minardi,11,18
19,2001,Jaguar,8,19
21,2001,Arrows,10,21
20,2001,Prost,9,20
22,2001,Benetton,7,22
1,2001,McLaren,2,1
3,2001,Williams,3,3
17,2001,Jordan,6,17
3,2001,Williams,3,3
19,2001,Jaguar,7,19
22,2001,Benetton,9,22
1,2001,McLaren,2,1
3,2001,Williams,6,3
6,2001,Ferrari,1,6
15,2001,Sauber,3,11
16,2001,BAR,5,16
17,2001,Jordan,4,17
18,2001,Minardi,11,18
19,2001,Jaguar,10,19
21,2001,Arrows,8,21
20,2001,Prost,9,20
22,2001,Benetton,7,22
1,2001,McLaren,2,1
3,2001,Williams,3,3
6,2001,Ferrari,1,6
15,2001,Sauber,5,11
22,2001,Benetton,10,22
21,2001,Arrows,6,21
19,2001,Jaguar,8,19
18,2001,Minardi,11,18
1,2001,McLaren,2,1
6,2001,Ferrari,1,6
15,2001,Sauber,3,11
16,2001,BAR,5,16
17,2001,Jordan,4,17
18,2001,Minardi,9,18
19,2001,Jaguar,6,19
16,2001,BAR,6,16
21,2001,Arrows,8,21
22,2001,Benetton,10,22
1,2001,McLaren,2,1
3,2001,Williams,5,3
6,2001,Ferrari,1,6
15,2001,Sauber,4,11
16,2001,BAR,7,16
17,2001,Jordan,3,17
20,2001,Prost,7,20
1,2001,McLaren,2,1
17,2001,Jordan,4,17
19,2001,Jaguar,10,19
18,2001,Minardi,11,18
19,2001,Jaguar,9,19
21,2001,Arrows,7,21
20,2001,Prost,10,20
22,2001,Benetton,8,22
1,2001,McLaren,2,1
3,2001,Williams,3,3
6,2001,Ferrari,1,6
15,2001,Sauber,6,11
16,2001,BAR,5,16
17,2001,Jordan,4,17
18,2001,Minardi,11,18
22,2001,Benetton,7,22
21,2001,Arrows,8,21
20,2001,Prost,10,20
